variable,plev_index,category,n_models,median,iqr,min,max,max_over_median,cov
ta_derived_layer_1,,derived layer T,19,13.06612698091148,0.7661013813349058,12.157259962118282,14.717296668321943,1.126370246502478,0.04635459741374262
ta_derived_layer_2,,derived layer T,19,12.076317456279808,0.9284284277542998,11.090014076143863,12.749528383310908,1.0557463754549632,0.045207357033291096
ta_derived_layer_3,,derived layer T,19,10.218573627938092,0.7466377605165917,9.301858765157414,11.294576397783757,1.1052987245601305,0.05686454377003504
ta_derived_layer_4,,derived layer T,19,5.326571339830237,0.44248885573008323,4.790281891846062,6.2277344534448265,1.1691825859678264,0.06928866906584234
ta_derived_layer_5,,derived layer T,19,9.73414034693452,0.5314051268904194,8.188864271467727,10.445366837119954,1.073065156740771,0.05423070326507804
ta_derived_layer_6,,derived layer T,19,6.778718890506272,1.002433024040248,6.116667984953155,8.59320301445716,1.267673605184028,0.1029324490452067
hfls,,flux,19,70.5108232400593,2.168604372395123,67.0190144544333,75.17701652604592,1.0661769792433173,0.030703234696740505
hfss,,flux,18,29.415507016415454,2.700821202838224,27.029277241958688,32.78266690919016,1.1144688715001803,0.06405669675252987
rlds,,flux,18,73.51465173656044,3.164655461341283,67.49585700306733,77.50879821037842,1.0543312983122193,0.04104631538838522
rlus,,flux,18,75.72130543293103,2.7033124284698857,71.87573026595118,78.65754280838169,1.0387768985051558,0.02667060862759514
rlut,,flux,17,42.58142464700232,1.1321298350062605,37.96207878980984,44.22050224744513,1.038492784448399,0.040615341684401014
rsds,,flux,19,95.18708043144498,1.877014018342237,94.59410296565981,97.66459300404377,1.0260278239585583,0.011634257741315133
rsus,,flux,17,37.254335472778784,2.273297817573379,35.62897163323548,40.243953523783034,1.0802488626642857,0.037769385044392416
siconc,,forcing,10,16.951656420187106,4.168911180841812,11.808209762937741,18.399202111733384,1.0853925808584965,0.16315567469798106
ts,,forcing,22,15.720332861337337,0.5154661954843327,14.898866470843402,16.395951946228216,1.0429774032681267,0.02672673814146113
orog,,static,21,592.6476315129414,12.389120473591333,559.0639030683602,626.8328240771963,1.0576821550387119,0.023448295336545997
sftlf,,static,22,42.15355220052919,1.2883938458563478,41.68699319944373,43.83352110981553,1.0398535549577064,0.017209029071022106
sfcWind,,surface wind,19,3.4945781842315213,0.15284646077795117,3.240261133206629,3.7865676542217614,1.0835549970831315,0.042362579660201974
uas,,surface wind,15,5.314660793858173,0.14470393693873973,4.992191525149156,5.674682400030733,1.06774122002078,0.03130732461143429
vas,,surface wind,15,4.24722422192134,0.11175862445456719,3.9413574532179494,4.734918107423549,1.1148264984422198,0.046602986629415005
