variable,plev_index,category,n_models,median,iqr,min,max,max_over_median,cov
hfss,,flux,18,17.6207336999939,3.2339635943181655,15.455348494454183,20.694194174566796,1.1744229568927633,0.09755530872943098
rlds,,flux,18,18.335665747747893,1.7276120379798847,16.503889869249154,21.158243510125832,1.1539392024925317,0.06817037135311818
rlus,,flux,18,6.099906252881957,0.8004066514077524,5.269406007293776,7.117331615602377,1.1667936064164475,0.08818796609170959
rlut,,flux,17,21.530308240094165,2.098857844319344,19.080593289885456,23.866855039943463,1.1085236111714432,0.06792261269319612
rsds,,flux,19,41.8423008528261,2.356453179113089,32.707900718640886,44.38135696692719,1.0606815605822404,0.08867856679635544
rsus,,flux,17,6.447218793895608,0.7289003624093624,5.4793264891889955,7.215091798867468,1.1191014342027452,0.08566517552415902
siconc,,forcing,10,0.1740699638477657,0.029198054616261876,0.09263093585424255,0.20210248424744368,1.1610416856534425,0.2251872875237481
ts,,forcing,22,0.11059915279929941,0.011006176963129943,0.0955446788029497,0.1174129790425523,1.0616083041397044,0.059900902604656726
sfcWind,,surface wind,19,2.142708708549839,0.10555349955827786,1.9184757400753536,2.3945002878474644,1.1175108769068451,0.053541011370586075
uas,,surface wind,15,3.0921851206129687,0.22469089382795682,2.6750346377055543,3.5089012256828473,1.1347642811848446,0.06987734296491477
vas,,surface wind,15,3.5715927586245098,0.12679141221907164,3.1958285612524,3.9603966515343547,1.108860085453746,0.04790955579207179
